addressinfo,county,enforcement_action,enforcement_action_no,enforcement_action_issued,case_closed,media,program,upload_id,city,state,zip,ai_combined
"735 Hanover Pike, Roberts Field Shopping Center",Carroll,Penalty Settlement,Eisgruber,2014-05-01T00:00:00.000,2014-05-20T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Hampstead,MD,21074,139142 - Roberts Field Shopping Center SSO
7410 Jefferson Ave,Prince George's,Consent Order,CO-19-2574,2018-12-14T00:00:00.000,2022-11-04T00:00:00.000,Surface Water Discharge Unauthorized,Industrial Minor,,Hyattsville,MD,20785,148027 - Nabely Family Trust
2740 Wilmarco Avenue,Baltimore City,Settlement Agreement and Consent Order,SA-18-2531,2018-04-30T00:00:00.000,2024-09-13T00:00:00.000,Surface Water Discharge Unauthorized,Industrial Stormwater,,Baltimore,MD,21223,151191 - World Recycling Company
1142 Marine Road,Wicomico,Stipulated Penalty,Patrick Noyes,2013-09-05T00:00:00.000,2017-07-18T00:00:00.000,Surface Water Discharge Permit,Municipal Major,,Salisbury,MD,21801,7992 - Salisbury WWTP
"Lofton Hill Rd, off Prospect Hill Rd",Charles,Penalty Settlement,PS-15-2145,2014-09-15T00:00:00.000,2014-09-15T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,La Plata,MD,20646,141292 - Autumn Woods
Elliott Rd,Talbot,Penalty Settlement,,2024-10-09T00:00:00.000,,Not Assigned,,,Easton,MD,21601,178210 - Elliott Road Apartments
27 Oakland Rosedale Rd,Garrett,Penalty Settlement,PS-15-2168,2014-10-24T00:00:00.000,2014-10-24T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Oakland,MD,21550,20765 - Oakland WWTP
8811 Courthouse Hill Road,Worcester,,,,2024-09-23T00:00:00.000,Not Assigned,,,Pocomoke City,MD,21851,145784 - James McIntyre Property
1023 Reece Rd,Anne Arundel,Penalty Settlement,PS-15-2236,2015-03-13T00:00:00.000,2015-05-13T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Severn,MD,21144,141885 - 1023 Reece Rd
1091 Marlboro Rd,Anne Arundel,Settlement Agreement,Eisgruber,2010-11-15T00:00:00.000,2012-05-29T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Lothian,MD,20711,21831 - Boone's Mobile Estates WWTP
"Montana Lane, off Foster Road, Route 219",Garrett,Settlement Agreement,SAP-19-2569,2018-12-07T00:00:00.000,2019-12-16T00:00:00.000,Non-Tidal Wetlands;Sediment;Waterway Construction,,,Oakland,MD,21550,153645 - Custer Timber Harvest
3020 W Cold Spring Lane,Baltimore City,Consent Decree,CJ-21-2692,2021-02-10T00:00:00.000,2023-01-24T00:00:00.000,Sediment;Stormwater Management,Industrial Stormwater,,Baltimore City,MD,21215,"143421 - National Concrete, Inc AKA National Construction, Inc/ Express Concrete/ Pless Jones"
16550 Annapolis Rd,Prince George's,Settlement Agreement,SAP-13-1742,2012-08-17T00:00:00.000,2014-09-14T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Bowie,MD,20715,18549 - City of Bowie WWTP
"251 Ballenger Center Dr, Genesis Healthcare",Frederick,Penalty Settlement,PS-15-2222,2015-02-24T00:00:00.000,2015-03-17T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Frederick,MD,21703,145258 - Genesis Healthcare Facility
2874 Glen Isle Road,Anne Arundel,Penalty Settlement,PS-15-2268,2015-06-04T00:00:00.000,2016-07-15T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Riva,MD,21140,146313 - Blue Heron Estates
3501 Asiatic Ave,Baltimore City,Stipulated Penalty,SP-22-2760,2022-01-07T00:00:00.000,2022-03-07T00:00:00.000,Surface Water Discharge Permit,Municipal Major,,Curtis Bay,MD,21226,3076 - Patapsco WWTP
7761 Waldorf Leonardtown Road,Charles,Penalty Settlement,PS-14-2016,2013-09-26T00:00:00.000,2014-03-07T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Hughesville,MD,20637,"36905 - Bessie M. Herbert property, CH-113"
111 Maryland Avenue,Montgomery,Penalty Settlement,Patrick Noyes,2016-07-01T00:00:00.000,2016-08-15T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Rockville,MD,20850,153112 - City of Rockville DPW
6 Brubar Court,Baltimore,Site Complaint,,,2010-07-01T00:00:00.000,Not Applicable,,,Gwynn Oak,MD,21207,131195 - Crest Pointe Apts
"39.103968, -76.737524",Anne Arundel,Penalty Settlement,PS-15-2279,2015-06-30T00:00:00.000,2015-07-22T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Fort George G. Meade,MD,20755,"122010 - Mapes Road Installation of 20""Waterline"
1719-A Little Creek Rd,Queen Anne's,Penalty Settlement,PS-13-1790,2012-11-20T00:00:00.000,2014-09-11T00:00:00.000,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,,,Chester,MD,21619,"19976 - Strongs Bay Seafood, Inc"
MD 193 and Kings Valley Dr,Prince George's,,,,2012-09-25T00:00:00.000,Not Assigned,,,Mitchellville,MD,20774,64881 - MD193 and Kings Valley Drive
8305 Telegraph Rd,Anne Arundel,Penalty Settlement,Arno Laud,2012-11-05T00:00:00.000,2012-12-17T00:00:00.000,Non-Tidal Wetlands,Notice of Intent (Construction),,Odenton,MD,21113,133259 - S/C Odenton III LLC-Odenton Nevamar
4536 Oakland Sang Run Road,Garrett,Settlement Agreement,SA-13-1880,2013-03-20T00:00:00.000,2013-04-02T00:00:00.000,Non-Tidal Wetlands;Sediment;Waterway Construction,,,Oakland,MD,21550,138536 - Joseph Schmidt
1 Hailey Rd,Charles,Penalty Settlement,PS-16-2341,2015-12-04T00:00:00.000,2016-12-15T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Indian Head,MD,20640,23478 - Town of Indian Head WWTP
8201 Eastern Ave,Baltimore,"Complaint, Order, Penalty",COP-16-2405,2016-06-08T00:00:00.000,2022-03-24T00:00:00.000,Surface Water Discharge Permit,Municipal Major,,Baltimore,MD,21224,8449 - Back River WWTP
Tall Cedars Rd,Prince George's,Settlement Agreement,SAP-15-2247,2015-04-22T00:00:00.000,2015-09-15T00:00:00.000,Non-Tidal Wetlands;Notice of Intent,Notice of Intent (Construction),,Clinton,MD,20735,69699 - Perlco Builders/tall Cedars/rd Xing
Behind homes 12635 through 12645 Willow View Place,Charles,Penalty Settlement,,2012-11-13T00:00:00.000,2012-12-13T00:00:00.000,Non-Tidal Wetlands,,,Waldorf,MD,20602,138487 - Lakewood Estates
Rockawalkin Rd,Wicomico,,,,2024-09-10T00:00:00.000,Not Assigned,,,Salisbury,MD,21801,129786 - Brock Parker Property- Lots 1 & 2 Rockawalkin Rd.
1161 Old New Windsor Pike,Carroll,Stipulated Penalty,SP-24-2947,2023-10-23T00:00:00.000,2024-09-11T00:00:00.000,Surface Water Discharge Permit,Municipal Major,{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1508068'},Westminster,MD,21158,23482 - The City of Westminster Water Reclamation Facility (WRF)
11602 Green Valley Road,Carroll,Penalty Settlement,Joe Bieberich,2017-08-30T00:00:00.000,2017-09-19T00:00:00.000,Surface Water Discharge Unauthorized,,,Union Bridge,PA,17402,155527 - S&H Express
County Wide Sewerage System,Cecil,Required Confirmation,Jami Everton,2020-02-28T00:00:00.000,2020-09-04T00:00:00.000,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Municipal Minor,,County-wide,MD,0,31407 - Cecil County Sanitary Sewer Overflows
4764 Williams Wharf Road,Calvert,Penalty Settlement,PS-15-2125,2014-08-04T00:00:00.000,2014-09-18T00:00:00.000,Tidal Wetlands,,,Saint Leonard,MD,20685,131031 - 4764 Williams Wharf Rd
407 Rolling Rd,Wicomico,,,,2014-05-13T00:00:00.000,Not Assigned,,,Salisbury,MD,21801,65996 - Old Town Builders - Frank Willing Properties
County Wide Sewerage System - Bureau of Utilities,Carroll,Penalty Settlement,"Bull, Kevin",2015-06-16T00:00:00.000,2015-07-24T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Westminster,MD,21157,31402 - Carroll County Sanitary Sewer Overflows
Several locations,Prince George's,Penalty Settlement,C-15-2181,2014-12-03T00:00:00.000,2015-02-03T00:00:00.000,Sediment;Waterway Construction,,,Bladensburg,MD,20710,129893 - PG DPW&T/Anacostia River Levee
2331 Turkey Point Rd,Baltimore,Penalty Settlement,,2018-04-26T00:00:00.000,2018-05-04T00:00:00.000,Tidal Wetlands,,,Essex,MD,21221,146260 - Vincent DiLeonardi
County Wide Sewerage System,Cecil,Offer to Settle,PS-20-2642,2020-02-28T00:00:00.000,2020-09-04T00:00:00.000,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Municipal Minor,,County-wide,MD,0,31407 - Cecil County Sanitary Sewer Overflows
115 Wye River Dr,Queen Anne's,Settlement Agreement,Julie Gowe,2006-02-22T00:00:00.000,2014-07-09T00:00:00.000,Tidal Wetlands,,,Queenstown,MD,21658,89208 - Jeffrey Sparhawk
"3466 North Carolina Ave, 316 CES/CEV",Prince George's,Penalty Settlement,C-14-2004,2013-10-02T00:00:00.000,2013-11-12T00:00:00.000,Sediment,,,Andrews Airforce Base,MD,20762,1768 - Andrews Air Force Base
21269 Dover Bridge Road,Caroline,Consent Decree,Kevin Bull,2014-08-21T00:00:00.000,2016-10-27T00:00:00.000,Groundwater Discharge Unauthorized,Municipal Minor,,Preston,MD,21655,134782 - Dover Bridge MHP (previously called Prettyman Manor Mobile Home Park)
12900 Lakeshore Drive,Allegany,Penalty Settlement,PS-15-2193,2014-12-23T00:00:00.000,2015-01-16T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Flintstone,MD,21530,143105 - MES-Rocky Gap WTP
TUCKER RD,Prince George's,,,,2024-09-20T00:00:00.000,Not Assigned,,,Oxon Hill,MD,20745,"128846 - Birdlawn Llc/rd Xings, Swm Pond  And"
Blairs Valley Rd,Washington,Required Confirmation,Patrick Noyes,2012-06-21T00:00:00.000,2016-02-12T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Clear Spring,MD,21722,136204 - Clyde Stolter sediment
1720 Dual Hwy,Washington,Penalty Settlement,13-WA-0025,2012-10-17T00:00:00.000,2012-11-14T00:00:00.000,Sediment,,,Hagerstown,MD,21740,"33550 - Byrd Tire & Automotive Services, LLC"
166 Pearce Creek Dr,Cecil,,,,2009-02-27T00:00:00.000,Not Assigned,,,Earleville,MD,21919,66061 - 166 Pearce Creek Drive
Shaft 4 work area,Baltimore City,Penalty Settlement,PS-13-1387,2013-03-18T00:00:00.000,2013-03-13T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Baltimore City,MD,21213,139323 - BC DPW Improvements to Herring Run Interceptors SC 871
3010 Ridgewood Ave,Baltimore City,Consent Decree,Jessica Herpel,2015-09-09T00:00:00.000,2021-02-22T00:00:00.000,Sediment,Industrial Minor,,Baltimore City,MD,21215,"42398 - P & J Contracting Company, Inc"
Wildewood Pkwy,St. Mary's,Penalty Settlement,PS-14-2103,2014-06-04T00:00:00.000,2014-09-24T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,California,MD,20619,65753 - WILDEWOOD RETIREMENT VILLAGE
6073 Picture Hill Drive,Caroline,Settlement Agreement,SAP-17-2469,2017-06-01T00:00:00.000,2017-07-14T00:00:00.000,Waterway Construction,,,Preston,MD,21655,"81674 - Tracey, Edward  And  Leola/pier, Boatlift  And"
29940 Three Notch Rd,St. Mary's,Settlement Agreement,SA-15-2128,2014-08-13T00:00:00.000,2014-09-10T00:00:00.000,Groundwater Discharge Permit,Municipal Minor,,Charlotte Hall,MD,20622,"22934 - Charlotte Hall Center, Inc. WWTP"
"25840 Rumbley Rd, Rumbley Workboat Harbor",Somerset,,,,2016-03-31T00:00:00.000,Not Assigned,,,Rumbley,MD,21871,"66826 - Matthew Hungerford Property, 25840 Rumbley Rd., Somerset Co."
12200 River Rd,Montgomery,Stipulated Penalty,CJ-16-2399,2021-05-11T00:00:00.000,2024-09-12T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1860825'},Potomac,MD,20854,5314 - WSSC Potomac WFP Water Filtration Plant
Cedar Street,Caroline,Penalty Settlement,SAP-12-1642,2012-05-04T00:00:00.000,2012-04-25T00:00:00.000,Sediment,,,Greensboro,MD,21639,130511 - Kinnamon Meadows
28 Third Ave,Kent,Penalty Settlement,Jessica Herpel,2019-10-16T00:00:00.000,2019-11-12T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Betterton,MD,21610,26971 - Betterton WWTP
Scully Rd & Bush River Rd,Harford,Required Confirmation,Arno Laud,2013-06-21T00:00:00.000,2013-06-22T00:00:00.000,Not Assigned,,,Aberdeen Proving Ground,MD,21005,131836 - APG Non-Medical Chemical Defense Facility JPEO
St. Linus Dr,Charles,Penalty Settlement,PS-14-1973,2013-07-29T00:00:00.000,2013-11-21T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Waldorf,MD,20602,140395 - Homefield Neighborhood
2825 Annapolis Rd,Baltimore City,Complaint & Penalty,CJ-16-2411,2016-07-28T00:00:00.000,2016-12-06T00:00:00.000,Surface Water Discharge Unauthorized,Industrial Minor,,Baltimore,MD,21230,22190 - A & X Steel and Aluminum Co.
"Bldg. 52, 71, 72, 75, East Loop Road, FDA White Oak Campus",Montgomery,Penalty Settlement,PS-13-1857,2013-02-21T00:00:00.000,2013-03-08T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Silver Spring,MD,20904,132157 - FDA Consolidation White Oak Southeast Quad
6209 Public Landing Road,Worcester,Settlement Agreement,SA-16-2373,2016-03-01T00:00:00.000,2016-03-22T00:00:00.000,Non-Tidal Wetlands,,,Snow Hill,MD,21863,146083 - Delmarva Power and Light Co-Kenny Substation
3625 E Monument Street,Baltimore City,Settlement Agreement,Patrick Noyes,2018-12-14T00:00:00.000,2018-12-26T00:00:00.000,Surface Water Discharge Permit,Industrial Minor,,Baltimore,MD,21205,20178 - Schuster Concrete -Monument Street Plant
1200 White Sands,Calvert,"Complaint, Order, Penalty",Linda Eisgruber,2014-09-19T00:00:00.000,2015-07-02T00:00:00.000,Tidal Wetlands,,,Lusby,MD,20657,64297 - Vera's Beach Club
County Wide Sewerage System,St. Mary's,Penalty Settlement,SAP-17-2416,2016-08-04T00:00:00.000,2016-08-31T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31401 - Saint Mary's County Sanitary Sewer Overflows
1142 Marine Road,Wicomico,Consent Decree,Patrick Noyes,2013-09-05T00:00:00.000,2013-12-06T00:00:00.000,Surface Water Discharge Permit,Municipal Major,,Salisbury,MD,21801,7992 - Salisbury WWTP
Sewerage Systems in Montgomery & Prince George's Counties,Statewide,Stipulated Penalty,Kevin Bull,2016-08-09T00:00:00.000,2016-09-01T00:00:00.000,Surface Water Discharge Permit,Collection System (SSO),,PG & Montgolery Counties,MD,0,31417 - Washington Suburban Sanitary Commission Sanitary Sewer Overflows
2335 Cape Leonard Drive,Calvert,Penalty Settlement,PS-15-2139,2014-09-04T00:00:00.000,2014-10-08T00:00:00.000,Tidal Wetlands,,,Saint Leonard,MD,20685,142669 - 2335 Cape Leonard Drive
7410 Jefferson Ave,Prince George's,Amended Complaint & Penalty,AOP-18-2533,2018-06-01T00:00:00.000,2018-12-18T00:00:00.000,Surface Water Discharge Unauthorized,Industrial Major,,Hyattsville,MD,20785,148027 - Nabely Family Trust
MELSON RD,Wicomico,Required Confirmation,SC-O-12-1679,,2016-11-02T00:00:00.000,Not Applicable,,,Delmar,MD,21875,74039 - Tucker Homes Llc/prev. Terra Firma Llc.
2809 Chancellor Point Rd,Talbot,Complaint & Penalty,AP-12-1635,2012-03-27T00:00:00.000,2013-02-12T00:00:00.000,Tidal Wetlands,,,Trappe,MD,21673,"70460 - Hollingsworth, Joe/stream Xing"
12200 River Rd,Montgomery,Stipulated Penalty,SP-23-2851,2022-11-28T00:00:00.000,2024-09-12T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1860825'},Potomac,MD,20854,5314 - WSSC Potomac WFP Water Filtration Plant
1 York Street,Carroll,Complaint & Penalty,AP-12-1542,2011-12-19T00:00:00.000,2014-02-10T00:00:00.000,Surface Water Discharge Unauthorized,,,Taneytown,MD,21787,"140668 - New Asia Restaurant, Inc."
13265 Augustine Herman Hwy,Kent,Amended Consent Order,ACO-17-2418,2016-08-18T00:00:00.000,2019-06-06T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Galena,MD,21635,22169 - Town of Galena WWTP
407 Rolling Rd,Wicomico,,,,2014-05-13T00:00:00.000,Not Assigned,,,Salisbury,MD,21801,65996 - Old Town Builders - Frank Willing Properties
12017 Glen Arm Rd,Baltimore,Consent Order,CO-12-1674,2012-05-24T00:00:00.000,2014-09-14T00:00:00.000,Waterway Construction,,,Glen Arm,MD,21057,136036 - Perennial Farm
County Wide Sewerage System,Howard,Stipulated Penalty,SP-22-2750,2021-10-20T00:00:00.000,2022-09-26T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31409 - Howard County Sanitary Sewer Overflows
"Willow Woods, Tax map 113, Grid 9, Parcel 285, Willow Lane",Charles,Penalty Settlement,C-18-2492,2017-10-31T00:00:00.000,2018-02-07T00:00:00.000,Sediment,,,La Plata,MD,20646,68466 - Willow Woods Subdivison
8148 Orchard Point Rd,Anne Arundel,Consent Order,COP-13-1907,2013-04-15T00:00:00.000,2014-02-12T00:00:00.000,Tidal Wetlands,,,Pasadena,MD,21122,134980 - Henry and Dorothy Sherry 8148 Orchard Point Rd
859 Spriggs Road,Anne Arundel,Penalty Settlement,C-15-2217,2015-02-04T00:00:00.000,2015-04-29T00:00:00.000,Sediment,,,Arnold,MD,21012,145421 - Andrew Kostyn
3527 Whiskey Bottom Road,Anne Arundel,Penalty Settlement,Arno Laud,2015-12-29T00:00:00.000,2016-01-20T00:00:00.000,Surface Water Discharge Unauthorized,Industrial Stormwater,,Laurel,MD,20724,"4107 - Clean Harbors Laurel ,LLC"
CLIPPER RD TO CYLBURN ARBORETUM,Baltimore City,Penalty Settlement,PS-13-1819,2012-12-26T00:00:00.000,2013-01-08T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Baltimore City,MD,21209,126393 - Bc Rec  And  Parks/jones Falls Trail:clipper
16550 Annapolis Rd,Prince George's,,,,2014-09-14T00:00:00.000,Not Assigned,,,Bowie,MD,20715,18549 - City of Bowie WWTP
21269 Dover Bridge Road,Caroline,Consent Order,CO-17-2424,2016-10-26T00:00:00.000,2022-02-25T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Preston,MD,21655,134782 - Dover Bridge MHP (previously called Prettyman Manor Mobile Home Park)
10200 to 10400 Sweepstakes Road,Montgomery,Penalty Settlement,C-16-2342,2015-11-23T00:00:00.000,2015-12-15T00:00:00.000,Non-Tidal Wetlands;Sediment;Waterway Construction,,,Damascus,MD,20872,136778 - MO DOT-Sweepstakes Road
3235 Harness Creek Rd,Anne Arundel,Consent Order,COP-18-2488,2017-09-28T00:00:00.000,2025-01-30T00:00:00.000,Tidal Wetlands,,,Annapolis,MD,21403,144716 - 3235 Harness Creek Road
"8809 Court House Hill Rd, Somerset County",Somerset,,,,2018-05-30T00:00:00.000,Not Assigned,,,Pocomoke City,MD,21851,68337 - Roy McIntyre Farm
I-695 over Milford Mills Road,Baltimore,Penalty Settlement,C-16-2320,2015-09-24T00:00:00.000,2015-10-15T00:00:00.000,Sediment,,,Pikesville,MD,21208,138368 - MD SHA-Bridge No 03140-I-695 over Milford Mills Road
2375 Cape Leonard Drive,Calvert,Penalty Settlement,PS-13-1919,2013-04-26T00:00:00.000,2013-05-28T00:00:00.000,Tidal Wetlands,,,Saint Leonard,MD,20685,125437 - Grayson Wilbur
11910 Emerald Court,Howard,Settlement Agreement,Arno Laud,2017-09-22T00:00:00.000,2017-10-05T00:00:00.000,Non-Tidal Wetlands;Waterway Construction,,,Ellicott City,MD,21043,65865 - Michael C. Fitzpatrick
County Wide Sewerage System,St. Mary's,Penalty Settlement,Patrick Noyes,2016-08-04T00:00:00.000,2016-08-31T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31401 - Saint Mary's County Sanitary Sewer Overflows
14901 Southlawn Lane,Montgomery,Penalty Settlement,"Bull, Kevin",2016-03-07T00:00:00.000,2016-03-17T00:00:00.000,Surface Water Discharge Permit,Industrial Minor,,Rockville,MD,20850,"20304 - Rockville Fuel and Feed Co., Inc."
2809 Chancellor Point Rd,Talbot,"Complaint, Order, Penalty",Eisgruber,2012-01-01T00:00:00.000,2014-06-11T00:00:00.000,Tidal Wetlands,,,Trappe,MD,21673,"70460 - Hollingsworth, Joe/stream Xing"
"County Wide Sewerage System, Anne Arundel County",Anne Arundel,Penalty Settlement,,2013-01-31T00:00:00.000,2013-01-31T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31396 - Anne Arundel County Sanitary Sewer Overflows
LAKE SHORE DRIVE; VICTORIA STATION COMM,Calvert,Penalty Settlement,SAP-13-1752,2012-09-13T00:00:00.000,2013-01-02T00:00:00.000,Sediment,,,Owings,MD,20736,105154 - Victoria Station/lake Victoria/embnkment
7504 Main Street,Wicomico,Consent Order,COP-13-1946,2013-06-11T00:00:00.000,2016-09-13T00:00:00.000,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Industrial Stormwater,,Willards,MD,21874,2756 - Delmarva Lumber LLC.
11600 Ocean Gateway,Worcester,Consent Order,SAP-13-1838,2013-02-25T00:00:00.000,2016-01-15T00:00:00.000,Non-Tidal Wetlands,,,Berlin,MD,21811,132780 - Spiro Buas
